case,axis_perm,center_offset,radius,num_points,inside_count,outside_count,inside_fraction,mean_distance,min_distance,max_distance
radius_scale_0.8,base,"0,0,0",0.7792,136151,15753,120398,0.11570241863812972,1.5703901896370036,0.020983113405802997,5.649945117189093
radius_scale_1.0,base,"0,0,0",0.974,136151,24546,111605,0.18028512460429963,1.5703901896370036,0.020983113405802997,5.649945117189093
radius_scale_1.2,base,"0,0,0",1.1687999999999998,136151,37910,98241,0.2784408487635052,1.5703901896370036,0.020983113405802997,5.649945117189093
center_axis0_-1,base,"-0.0974,0.0,0.0",0.974,136151,24767,111384,0.18190832237736043,1.566445916506851,0.03203398437371171,5.577997418607225
center_axis0_+1,base,"0.0974,0.0,0.0",0.974,136151,24432,111719,0.1794478189657072,1.579019969594462,0.057676140880776605,5.722646063885909
center_axis1_-1,base,"0.0,-0.0974,0.0",0.974,136151,22644,113507,0.166315341055152,1.5940710211987363,0.004549387940168215,5.705319879353148
center_axis1_+1,base,"0.0,0.0974,0.0",0.974,136151,26284,109867,0.19305036319968272,1.5522168699748466,0.045859103186233006,5.595717849280423
center_axis2_-1,base,"0.0,0.0,-0.0974",0.974,136151,22198,113953,0.16303956636381664,1.5951853410396337,0.052841519227064544,5.615301995460576
center_axis2_+1,base,"0.0,0.0,0.0974",0.974,136151,26726,109425,0.1962967587458043,1.5514665721056342,0.023844794187160553,5.6860457854535635
axis_permutation,"0,1,2","0,0,0",0.974,136151,24546,111605,0.18028512460429963,1.5703901896370036,0.020983113405802997,5.649945117189093
axis_permutation,"0,2,1","0,0,0",0.974,136151,24546,111605,0.18028512460429963,1.5703901896370036,0.020983113405802997,5.649945117189093
axis_permutation,"1,0,2","0,0,0",0.974,136151,24546,111605,0.18028512460429963,1.5703901896370036,0.020983113405802997,5.649945117189093
axis_permutation,"1,2,0","0,0,0",0.974,136151,24546,111605,0.18028512460429963,1.5703901896370036,0.020983113405802997,5.649945117189093
axis_permutation,"2,0,1","0,0,0",0.974,136151,24546,111605,0.18028512460429963,1.5703901896370036,0.020983113405802997,5.649945117189093
axis_permutation,"2,1,0","0,0,0",0.974,136151,24546,111605,0.18028512460429963,1.5703901896370036,0.020983113405802997,5.649945117189093
requested_xyz_axis,"2,1,0","0,0,0",0.974,136151,24546,111605,0.18028512460429963,1.5703901896370036,0.020983113405802997,5.649945117189093
